Price_NT,District,Ping,Rooms,type
35000,大同區,28.93,2,電梯大樓
56000,文山區,58.9,3,電梯大樓
105000,士林區,49.88,4,電梯大樓
60000,大安區,52.48,3,電梯大樓
120000,大安區,67.2,3,電梯大樓
200000,大安區,37.98,3,電梯大樓
32000,中山區,31.38,3,電梯大樓
75000,中正區,14.65,1,電梯大樓
28000,士林區,13.76,1,電梯大樓
45000,士林區,33.02,2,電梯大樓
60000,南港區,35.22,3,電梯大樓
30000,松山區,15.83,1,電梯大樓
220000,士林區,95.99,3,電梯大樓
170000,士林區,75.22,3,電梯大樓
260000,大安區,92.1,3,電梯大樓
40000,大安區,11.82,1,電梯大樓
35000,大安區,9.76,1,電梯大樓
55000,松山區,43.2,3,電梯大樓
38000,文山區,35.57,2,電梯大樓
22000,北投區,12.21,1,電梯大樓
40000,中山區,22.97,1,電梯大樓
28000,中山區,14.34,1,電梯大樓
75000,士林區,49.48,3,電梯大樓
99000,松山區,91.58,5,電梯大樓
30000,萬華區,15.76,1,電梯大樓
270000,士林區,121.06,3,電梯大樓
42000,文山區,39.97,3,電梯大樓
38000,南港區,17.72,1,電梯大樓
35000,南港區,13.45,1,電梯大樓
55000,萬華區,44,3,電梯大樓
55000,北投區,79.15,5,電梯大樓
39500,信義區,15.55,1,電梯大樓
40000,萬華區,19.84,1,電梯大樓
125000,中正區,69.03,4,電梯大樓
250000,士林區,175.15,5,電梯大樓
85000,中山區,46.52,2,電梯大樓
40000,中正區,36.52,3,電梯大樓
34000,中山區,16.06,1,電梯大樓
28000,萬華區,15.78,1,電梯大樓
55000,中山區,14.42,1,電梯大樓
55000,中正區,18.07,1,電梯大樓
88000,士林區,47.19,3,電梯大樓
52500,中山區,22.67,2,電梯大樓
45000,中正區,15.51,1,電梯大樓
50000,大安區,13.57,1,電梯大樓
67000,信義區,30.69,1,電梯大樓
45000,士林區,16.26,1,電梯大樓
38000,中山區,12.68,1,電梯大樓
100000,北投區,79.16,3,電梯大樓
15000,北投區,18.79,1,電梯大樓
65000,大安區,21.63,1,電梯大樓
100000,文山區,76.67,3,電梯大樓
64000,北投區,60.38,3,電梯大樓
100000,南港區,64.92,4,電梯大樓
80000,南港區,44.98,3,電梯大樓
46000,松山區,47.66,4,電梯大樓
168000,內湖區,89.56,4,電梯大樓
88000,南港區,51,3,電梯大樓
42000,中山區,43.21,3,電梯大樓
42000,中山區,13.35,1,電梯大樓
26800,中山區,9.91,1,電梯大樓
65000,士林區,87.96,3,電梯大樓
120000,信義區,76.63,1,電梯大樓
47000,內湖區,37.6,3,電梯大樓
68000,南港區,35.08,2,電梯大樓
29000,大安區,10.5,1,電梯大樓
88000,南港區,79.44,3,電梯大樓
48000,中正區,27.37,2,電梯大樓
125000,士林區,72.94,3,電梯大樓
65000,士林區,54.11,5,電梯大樓
76000,士林區,87.9,4,電梯大樓
60000,士林區,50.27,3,電梯大樓
175000,中正區,85.19,4,電梯大樓
45000,大同區,38,3,電梯大樓
40000,大同區,12.85,1,電梯大樓
55000,大安區,42.72,3,電梯大樓
45000,萬華區,22.86,2,電梯大樓
58000,南港區,40.11,3,電梯大樓
35000,松山區,24.55,2,電梯大樓
25000,士林區,16.09,1,電梯大樓
68000,松山區,63.49,4,電梯大樓
28000,北投區,42.12,3,電梯大樓
118888,北投區,47.84,3,電梯大樓
33333,松山區,12,1,電梯大樓
82000,大安區,51.23,3,電梯大樓
28888,士林區,33,4,無電梯公寓
17000,萬華區,15.02,2,無電梯公寓
18000,大同區,22.38,2,無電梯公寓
36000,大同區,18,1,無電梯公寓
23000,大同區,18.04,1,無電梯公寓
70000,中山區,36,3,無電梯公寓
20000,北投區,23.27,3,無電梯公寓
27000,士林區,15.9,3,無電梯公寓
32000,內湖區,32.02,1,無電梯公寓
8500,中山區,7,1,無電梯公寓
9000,萬華區,7,1,無電梯公寓
9000,萬華區,7,1,無電梯公寓
12000,內湖區,9,1,無電梯公寓
9500,內湖區,7,1,無電梯公寓
8000,萬華區,7,1,無電梯公寓
8500,萬華區,7,1,無電梯公寓
20000,士林區,20.09,3,無電梯公寓
16000,大同區,10,1,無電梯公寓
14500,中山區,12,1,無電梯公寓
20000,中正區,18,1,無電梯公寓
38000,中山區,26,1,無電梯公寓
18000,中正區,18,1,無電梯公寓
42000,北投區,36,3,無電梯公寓
21000,中正區,18,2,無電梯公寓
21000,中正區,20,2,無電梯公寓
25000,中正區,18,1,無電梯公寓
12000,中正區,8,1,無電梯公寓
32000,中正區,20,2,無電梯公寓
1500,文山區,25.8,1,無電梯公寓
19000,士林區,15,2,無電梯公寓
48800,大安區,17.76,3,無電梯公寓
99999,北投區,49.5,3,無電梯公寓
42000,大安區,26.05,3,無電梯公寓
45000,大安區,25.99,2,無電梯公寓
39500,信義區,31.13,2,無電梯公寓
29999,中山區,21.69,2,無電梯公寓
30000,士林區,31.88,3,無電梯公寓
35000,信義區,32.77,3,無電梯公寓
78000,士林區,85.38,6,無電梯公寓
55000,大安區,41,2,無電梯公寓
66000,信義區,40,4,無電梯公寓
19000,中山區,10,2,無電梯公寓
22000,中正區,15,2,無電梯公寓
56000,中山區,36,4,無電梯公寓
28000,信義區,18.52,2,無電梯公寓
35000,大安區,32.45,3,無電梯公寓
40000,大安區,28.2,3,無電梯公寓
14800,信義區,14.68,1,無電梯公寓
25000,大同區,21,2,無電梯公寓
45000,士林區,29.62,3,無電梯公寓
18600,中山區,9,1,無電梯公寓
36000,萬華區,33.23,3,無電梯公寓
